,TypeName,make,ModelText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
282,Continental FlyingSpur6.0,Bentley,CONTINENTAL,Limousine,5998,Zuzwil,423 g/km,Occasion,G,17.7 l/100km,4,Allrad,3,2006,Benzin,560,beige,35000,"Ab MFK, Direkt-/Parallelimport",5,Automat,Yellow,17.7,l/100km
283,4/4 1.8,Morgan,4/4,Cabriolet,1796,Zuzwil,null,Occasion,G,7.7 l/100km,2,Hinterradantrieb,6,2006,Benzin,126,bordeaux,7100,"Ab MFK, Direkt-/Parallelimport",2,Schaltgetriebe manuell,Yellow,7.7,l/100km
284,Cabrio,Rolls-Royce,CORNICHE,Cabriolet,6747,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1987,Benzin,0,schwarz,19720,Ab MFK,4,Automatik-Getriebe,Yellow,null,
285,F355 Berlinetta,Ferrari,F355,Coupé,3496,Zuzwil,null,Occasion,null,20.8 l/100km,2,Hinterradantrieb,3,1998,Benzin,380,schwarz,28100,Ab MFK,2,Automatik-Getriebe,Yellow,20.8,l/100km
286,M5,BMW,M5,Limousine,4999,Zuzwil,357 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,4,2005,Benzin,503,beige,3000,null,5,Automatisiertes Schaltgetriebe,Yellow,14.8,l/100km
287,Tacuma 2000i CDX,Daewoo,TACUMA,Kompaktvan / Minivan,1998,Zuzwil,236 g/km,Occasion,G,9.0 l/100km,5,Vorderradantrieb,10,2003,Benzin,121,grau,103000,Ab MFK,5,Schaltgetriebe manuell,Yellow,9.0,l/100km
288,1600S Gruppe 5 look,Renault,Alpine A110,Coupé,1565,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1971,null,170,schwarz,19200,Rennwagen,2,Schaltgetriebe,Anthracite,null,
289,911 Turbo S Cabrio PDK,Porsche,911,Cabriolet,3800,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,2,Allrad,4,2011,Benzin,530,schwarz,28000,Ab MFK,2,Automatisiertes Schaltgetriebe,Yellow,11.5,l/100km
290,Targa,Porsche,911,Cabriolet,2687,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,11,1971,Benzin,150,schwarz,96000,Ab MFK,2,Schaltgetriebe manuell,Yellow,null,
291,3200 GT,Maserati,3200 GT,Coupé,3217,Zuzwil,388 g/km,Occasion,null,15.6 l/100km,2,Hinterradantrieb,3,2000,Benzin,370,schwarz,64600,Ab MFK,4,Automatik-Getriebe,Yellow,15.6,l/100km
292,S 400 CDI,Mercedes-Benz,S 400,Limousine,3996,Zuzwil,253 g/km,Occasion,G,9.6 l/100km,4,Hinterradantrieb,4,2001,Diesel,250,beige,42000,Ab MFK,5,Automat,Yellow,9.6,l/100km
293,456M GT,Ferrari,456,Coupé,5474,Zuzwil,495 g/km,Occasion,G,22.0 l/100km,2,Hinterradantrieb,5,1999,Benzin,442,null,49000,Ab MFK,4,Schaltgetriebe manuell,Yellow,22.0,l/100km
294,S6 quattro,Audi,S6,Limousine,4172,Zuzwil,341 g/km,Occasion,null,14.2 l/100km,4,Allrad,8,2001,Benzin,340,schwarz,103100,Ab MFK,5,Automatik-Getriebe,Yellow,14.2,l/100km
295,190 E 2.5-16 Evo II ABS,Mercedes-Benz,190,Limousine,2461,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,7,1991,Benzin,235,schwarz,89700,Ab MFK,4,Schaltgetriebe manuell,Yellow,null,
296,626 2.0i-16V HPV,Mazda,626,Limousine,1991,Zuzwil,195 g/km,Occasion,null,8.1 l/100km,5,Vorderradantrieb,8,2001,Benzin,136,null,158000,Ab MFK,5,Automatik-Getriebe,Yellow,8.1,l/100km
297,2000 GLi Super Liftback,Toyota,CAMRY,Limousine,1994,Safenwil,null,Oldtimer,null,null,4,Vorderradantrieb,5,1985,Benzin,105,blau,58100,Ab MFK,0,Automatik-Getriebe,Yellow,null,
298,Cayenne Turbo S,Porsche,CAYENNE,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,9,2006,Benzin,521,schwarz,91600,Ab MFK,5,Automat,Yellow,15.7,l/100km
299,Cayenne Turbo,Porsche,CAYENNE,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,3,2003,Benzin,450,schwarz,121000,Ab MFK,5,Automat sequentiell,Anthracite,15.7,l/100km
300,Viper RT/10,Chrysler,VIPER,Cabriolet,7986,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,10,1993,Benzin,364,grau,28600,Ab MFK,2,Schaltgetriebe manuell,Yellow,null,
301,S 320,Mercedes-Benz,S 320,Limousine,3199,Zuzwil,276 g/km,Occasion,G,11.5 l/100km,4,Hinterradantrieb,4,1999,Benzin,224,schwarz,128000,Ab MFK,5,Automat,Yellow,11.5,l/100km
302,MR2 2.0,Toyota,MR2,Coupé,1997,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1990,Benzin,156,schwarz,135800,Ab MFK,2,Schaltgetriebe manuell,Yellow,null,
303,Testarossa,Ferrari,TESTAR./512,Coupé,4941,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1989,Benzin,380,beige,31700,null,2,Schaltgetriebe manuell,Yellow,null,
